TEAM_ABB,TEAM_NAME,YEAR,WINS,LOSSES,PO_WINS,PO_LOSSES,NBA_FINALS_APPEARANCE,CONF_RANK
ATL,Hawks,2000-01,25,57,0,0,N/A,13
ATL,Hawks,2001-02,33,49,0,0,N/A,12
ATL,Hawks,2002-03,35,47,0,0,N/A,11
ATL,Hawks,2003-04,28,54,0,0,N/A,12
ATL,Hawks,2004-05,13,69,0,0,N/A,15
ATL,Hawks,2005-06,26,56,0,0,N/A,14
ATL,Hawks,2006-07,30,52,0,0,N/A,13
ATL,Hawks,2007-08,37,45,3,4,N/A,8
ATL,Hawks,2008-09,47,35,4,7,N/A,4
ATL,Hawks,2009-10,53,29,4,7,N/A,3
ATL,Hawks,2010-11,44,38,6,6,N/A,5
ATL,Hawks,2011-12,40,26,2,4,N/A,5
ATL,Hawks,2012-13,44,38,2,4,N/A,6
ATL,Hawks,2013-14,38,44,3,4,N/A,8
ATL,Hawks,2014-15,60,22,8,8,N/A,1
ATL,Hawks,2015-16,48,34,4,6,N/A,4
ATL,Hawks,2016-17,43,39,2,4,N/A,5
ATL,Hawks,2017-18,24,58,0,0,N/A,15
ATL,Hawks,2018-19,29,53,0,0,N/A,12
ATL,Hawks,2019-20,20,47,0,0,N/A,14
ATL,Hawks,2020-21,41,31,10,8,N/A,5
ATL,Hawks,2021-22,43,39,1,4,N/A,9
ATL,Hawks,2022-23,41,41,2,4,N/A,8
ATL,Hawks,2023-24,36,46,0,0,N/A,10
ATL,Hawks,2024-25,40,42,0,0,N/A,8
ATL,Hawks,2025-26,15,12,0,0,N/A,9
BOS,Celtics,2000-01,36,46,0,0,N/A,9
BOS,Celtics,2001-02,49,33,9,7,N/A,3
BOS,Celtics,2002-03,44,38,4,6,N/A,6
BOS,Celtics,2003-04,36,46,0,4,N/A,8
BOS,Celtics,2004-05,45,37,3,4,N/A,4
BOS,Celtics,2005-06,33,49,0,0,N/A,11
BOS,Celtics,2006-07,24,58,0,0,N/A,15
BOS,Celtics,2007-08,66,16,16,10,LEAGUE CHAMPION,1
BOS,Celtics,2008-09,62,20,7,7,N/A,2
BOS,Celtics,2009-10,50,32,15,9,FINALS APPEARANCE,4
BOS,Celtics,2010-11,56,26,5,4,N/A,3
BOS,Celtics,2011-12,39,27,11,9,N/A,4
BOS,Celtics,2012-13,41,40,2,4,N/A,7
BOS,Celtics,2013-14,25,57,0,0,N/A,12
BOS,Celtics,2014-15,40,42,0,4,N/A,7
BOS,Celtics,2015-16,48,34,2,4,N/A,5
BOS,Celtics,2016-17,53,29,9,9,N/A,1
BOS,Celtics,2017-18,55,27,11,8,N/A,2
BOS,Celtics,2018-19,49,33,5,4,N/A,4
BOS,Celtics,2019-20,48,24,10,7,N/A,3
BOS,Celtics,2020-21,36,36,1,4,N/A,7
BOS,Celtics,2021-22,51,31,14,10,FINALS APPEARANCE,2
BOS,Celtics,2022-23,57,25,11,9,N/A,2
BOS,Celtics,2023-24,64,18,16,3,LEAGUE CHAMPION,1
BOS,Celtics,2024-25,61,21,6,5,N/A,2
BOS,Celtics,2025-26,15,10,0,0,N/A,3
CLE,Cavaliers,2000-01,30,52,0,0,N/A,11
CLE,Cavaliers,2001-02,29,53,0,0,N/A,14
CLE,Cavaliers,2002-03,17,65,0,0,N/A,15
CLE,Cavaliers,2003-04,35,47,0,0,N/A,9
CLE,Cavaliers,2004-05,42,40,0,0,N/A,9
CLE,Cavaliers,2005-06,50,32,7,6,N/A,3
CLE,Cavaliers,2006-07,50,32,12,8,FINALS APPEARANCE,2
CLE,Cavaliers,2007-08,45,37,7,6,N/A,4
CLE,Cavaliers,2008-09,66,16,10,4,N/A,1
CLE,Cavaliers,2009-10,61,21,6,5,N/A,1
CLE,Cavaliers,2010-11,19,63,0,0,N/A,15
CLE,Cavaliers,2011-12,21,45,0,0,N/A,13
CLE,Cavaliers,2012-13,24,58,0,0,N/A,13
CLE,Cavaliers,2013-14,33,49,0,0,N/A,10
CLE,Cavaliers,2014-15,53,29,14,6,FINALS APPEARANCE,2
CLE,Cavaliers,2015-16,57,25,16,5,LEAGUE CHAMPION,1
CLE,Cavaliers,2016-17,51,31,13,5,FINALS APPEARANCE,2
CLE,Cavaliers,2017-18,50,32,12,10,FINALS APPEARANCE,4
CLE,Cavaliers,2018-19,19,63,0,0,N/A,14
CLE,Cavaliers,2019-20,19,46,0,0,N/A,15
CLE,Cavaliers,2020-21,22,50,0,0,N/A,13
CLE,Cavaliers,2021-22,44,38,0,0,N/A,8
CLE,Cavaliers,2022-23,51,31,1,4,N/A,4
CLE,Cavaliers,2023-24,48,34,5,7,N/A,4
CLE,Cavaliers,2024-25,64,18,5,4,N/A,1
CLE,Cavaliers,2025-26,15,12,0,0,N/A,8
NOP,Hornets,2002-03,47,35,2,4,N/A,5
NOP,Hornets,2003-04,41,41,3,4,N/A,5
NOP,Hornets,2004-05,18,64,0,0,N/A,15
NOP,Hornets,2005-06,38,44,0,0,N/A,10
NOP,Hornets,2006-07,39,43,0,0,N/A,10
NOP,Hornets,2007-08,56,26,7,5,N/A,2
NOP,Hornets,2008-09,49,33,1,4,N/A,7
NOP,Hornets,2009-10,37,45,0,0,N/A,11
NOP,Hornets,2010-11,46,36,2,4,N/A,7
NOP,Hornets,2011-12,21,45,0,0,N/A,15
NOP,Hornets,2012-13,27,55,0,0,N/A,14
NOP,Pelicans,2013-14,34,48,0,0,N/A,12
NOP,Pelicans,2014-15,45,37,0,4,N/A,8
NOP,Pelicans,2015-16,30,52,0,0,N/A,12
NOP,Pelicans,2016-17,34,48,0,0,N/A,10
NOP,Pelicans,2017-18,48,34,5,4,N/A,6
NOP,Pelicans,2018-19,33,49,0,0,N/A,13
NOP,Pelicans,2019-20,30,42,0,0,N/A,13
NOP,Pelicans,2020-21,31,41,0,0,N/A,11
NOP,Pelicans,2021-22,36,46,2,4,N/A,9
NOP,Pelicans,2022-23,42,40,0,0,N/A,9
NOP,Pelicans,2023-24,49,33,0,4,N/A,7
NOP,Pelicans,2024-25,21,61,0,0,N/A,14
NOP,Pelicans,2025-26,5,22,0,0,N/A,15
CHI,Bulls,2000-01,15,67,0,0,N/A,15
CHI,Bulls,2001-02,21,61,0,0,N/A,15
CHI,Bulls,2002-03,30,52,0,0,N/A,12
CHI,Bulls,2003-04,23,59,0,0,N/A,14
CHI,Bulls,2004-05,47,35,2,4,N/A,3
CHI,Bulls,2005-06,41,41,2,4,N/A,7
CHI,Bulls,2006-07,49,33,6,4,N/A,5
CHI,Bulls,2007-08,33,49,0,0,N/A,11
CHI,Bulls,2008-09,41,41,3,4,N/A,7
CHI,Bulls,2009-10,41,41,1,4,N/A,8
CHI,Bulls,2010-11,62,20,9,7,N/A,1
CHI,Bulls,2011-12,50,16,2,4,N/A,1
CHI,Bulls,2012-13,45,37,5,7,N/A,5
CHI,Bulls,2013-14,48,34,1,4,N/A,4
CHI,Bulls,2014-15,50,32,6,6,N/A,3
CHI,Bulls,2015-16,42,40,0,0,N/A,9
CHI,Bulls,2016-17,41,41,2,4,N/A,8
CHI,Bulls,2017-18,27,55,0,0,N/A,13
CHI,Bulls,2018-19,22,60,0,0,N/A,13
CHI,Bulls,2019-20,22,43,0,0,N/A,11
CHI,Bulls,2020-21,31,41,0,0,N/A,11
CHI,Bulls,2021-22,46,36,1,4,N/A,6
CHI,Bulls,2022-23,40,42,0,0,N/A,10
CHI,Bulls,2023-24,39,43,0,0,N/A,9
CHI,Bulls,2024-25,39,43,0,0,N/A,9
CHI,Bulls,2025-26,10,15,0,0,N/A,11
DAL,Mavericks,2000-01,53,29,4,6,N/A,4
DAL,Mavericks,2001-02,57,25,4,4,N/A,4
DAL,Mavericks,2002-03,60,22,10,10,N/A,3
DAL,Mavericks,2003-04,52,30,1,4,N/A,5
DAL,Mavericks,2004-05,58,24,6,7,N/A,3
DAL,Mavericks,2005-06,60,22,14,9,FINALS APPEARANCE,2
DAL,Mavericks,2006-07,67,15,2,4,N/A,1
DAL,Mavericks,2007-08,51,31,1,4,N/A,7
DAL,Mavericks,2008-09,50,32,5,5,N/A,6
DAL,Mavericks,2009-10,55,27,2,4,N/A,2
DAL,Mavericks,2010-11,57,25,16,5,LEAGUE CHAMPION,3
DAL,Mavericks,2011-12,36,30,0,4,N/A,7
DAL,Mavericks,2012-13,41,41,0,0,N/A,10
DAL,Mavericks,2013-14,49,33,3,4,N/A,8
DAL,Mavericks,2014-15,50,32,1,4,N/A,7
DAL,Mavericks,2015-16,42,40,1,4,N/A,6
DAL,Mavericks,2016-17,33,49,0,0,N/A,11
DAL,Mavericks,2017-18,24,58,0,0,N/A,13
DAL,Mavericks,2018-19,33,49,0,0,N/A,14
DAL,Mavericks,2019-20,43,32,2,4,N/A,7
DAL,Mavericks,2020-21,42,30,3,4,N/A,5
DAL,Mavericks,2021-22,52,30,9,9,N/A,4
DAL,Mavericks,2022-23,38,44,0,0,N/A,11
DAL,Mavericks,2023-24,50,32,13,9,FINALS APPEARANCE,5
DAL,Mavericks,2024-25,39,43,0,0,N/A,10
DAL,Mavericks,2025-26,10,16,0,0,N/A,10
DEN,Nuggets,2000-01,40,42,0,0,N/A,11
DEN,Nuggets,2001-02,27,55,0,0,N/A,12
DEN,Nuggets,2002-03,17,65,0,0,N/A,14
DEN,Nuggets,2003-04,43,39,1,4,N/A,8
DEN,Nuggets,2004-05,49,33,1,4,N/A,7
DEN,Nuggets,2005-06,44,38,1,4,N/A,4
DEN,Nuggets,2006-07,45,37,1,4,N/A,6
DEN,Nuggets,2007-08,50,32,0,4,N/A,8
DEN,Nuggets,2008-09,54,28,10,6,N/A,2
DEN,Nuggets,2009-10,53,29,2,4,N/A,4
DEN,Nuggets,2010-11,50,32,1,4,N/A,5
DEN,Nuggets,2011-12,38,28,3,4,N/A,6
DEN,Nuggets,2012-13,57,25,2,4,N/A,3
DEN,Nuggets,2013-14,36,46,0,0,N/A,11
DEN,Nuggets,2014-15,30,52,0,0,N/A,12
DEN,Nuggets,2015-16,33,49,0,0,N/A,11
DEN,Nuggets,2016-17,40,42,0,0,N/A,9
DEN,Nuggets,2017-18,46,36,0,0,N/A,9
DEN,Nuggets,2018-19,54,28,7,7,N/A,2
DEN,Nuggets,2019-20,46,27,9,10,N/A,3
DEN,Nuggets,2020-21,47,25,4,6,N/A,3
DEN,Nuggets,2021-22,48,34,1,4,N/A,6
DEN,Nuggets,2022-23,53,29,16,4,LEAGUE CHAMPION,1
DEN,Nuggets,2023-24,57,25,7,5,N/A,2
DEN,Nuggets,2024-25,50,32,7,7,N/A,4
DEN,Nuggets,2025-26,18,6,0,0,N/A,2
GSW,Warriors,2000-01,17,65,0,0,N/A,14
GSW,Warriors,2001-02,21,61,0,0,N/A,14
GSW,Warriors,2002-03,38,44,0,0,N/A,11
GSW,Warriors,2003-04,37,45,0,0,N/A,11
GSW,Warriors,2004-05,34,48,0,0,N/A,12
GSW,Warriors,2005-06,34,48,0,0,N/A,13
GSW,Warriors,2006-07,42,40,5,6,N/A,8
GSW,Warriors,2007-08,48,34,0,0,N/A,9
GSW,Warriors,2008-09,29,53,0,0,N/A,10
GSW,Warriors,2009-10,26,56,0,0,N/A,13
GSW,Warriors,2010-11,36,46,0,0,N/A,12
GSW,Warriors,2011-12,23,43,0,0,N/A,13
GSW,Warriors,2012-13,47,35,6,6,N/A,6
GSW,Warriors,2013-14,51,31,3,4,N/A,6
GSW,Warriors,2014-15,67,15,16,5,LEAGUE CHAMPION,1
GSW,Warriors,2015-16,73,9,15,9,FINALS APPEARANCE,1
GSW,Warriors,2016-17,67,15,16,1,LEAGUE CHAMPION,1
GSW,Warriors,2017-18,58,24,16,5,LEAGUE CHAMPION,2
GSW,Warriors,2018-19,57,25,14,8,FINALS APPEARANCE,1
GSW,Warriors,2019-20,15,50,0,0,N/A,15
GSW,Warriors,2020-21,39,33,0,0,N/A,9
GSW,Warriors,2021-22,53,29,16,6,LEAGUE CHAMPION,3
GSW,Warriors,2022-23,44,38,6,7,N/A,6
GSW,Warriors,2023-24,46,36,0,0,N/A,10
GSW,Warriors,2024-25,48,34,5,7,N/A,7
GSW,Warriors,2025-26,13,14,0,0,N/A,8
HOU,Rockets,2000-01,45,37,0,0,N/A,9
HOU,Rockets,2001-02,28,54,0,0,N/A,11
HOU,Rockets,2002-03,43,39,0,0,N/A,9
HOU,Rockets,2003-04,45,37,1,4,N/A,7
HOU,Rockets,2004-05,51,31,3,4,N/A,5
HOU,Rockets,2005-06,34,48,0,0,N/A,12
HOU,Rockets,2006-07,52,30,3,4,N/A,5
HOU,Rockets,2007-08,55,27,2,4,N/A,5
HOU,Rockets,2008-09,53,29,7,6,N/A,5
HOU,Rockets,2009-10,42,40,0,0,N/A,9
HOU,Rockets,2010-11,43,39,0,0,N/A,9
HOU,Rockets,2011-12,34,32,0,0,N/A,9
HOU,Rockets,2012-13,45,37,2,4,N/A,8
HOU,Rockets,2013-14,54,28,2,4,N/A,4
HOU,Rockets,2014-15,56,26,9,8,N/A,2
HOU,Rockets,2015-16,41,41,1,4,N/A,8
HOU,Rockets,2016-17,55,27,6,5,N/A,3
HOU,Rockets,2017-18,65,17,11,6,N/A,1
HOU,Rockets,2018-19,53,29,6,5,N/A,4
HOU,Rockets,2019-20,44,28,5,7,N/A,4
HOU,Rockets,2020-21,17,55,0,0,N/A,15
HOU,Rockets,2021-22,20,62,0,0,N/A,15
HOU,Rockets,2022-23,22,60,0,0,N/A,14
HOU,Rockets,2023-24,41,41,0,0,N/A,11
HOU,Rockets,2024-25,52,30,3,4,N/A,2
HOU,Rockets,2025-26,16,6,0,0,N/A,3
LAC,Clippers,2000-01,31,51,0,0,N/A,12
LAC,Clippers,2001-02,39,43,0,0,N/A,9
LAC,Clippers,2002-03,27,55,0,0,N/A,13
LAC,Clippers,2003-04,28,54,0,0,N/A,14
LAC,Clippers,2004-05,37,45,0,0,N/A,10
LAC,Clippers,2005-06,47,35,7,5,N/A,6
LAC,Clippers,2006-07,40,42,0,0,N/A,9
LAC,Clippers,2007-08,23,59,0,0,N/A,12
LAC,Clippers,2008-09,19,63,0,0,N/A,14
LAC,Clippers,2009-10,29,53,0,0,N/A,12
LAC,Clippers,2010-11,32,50,0,0,N/A,13
LAC,Clippers,2011-12,40,26,4,7,N/A,5
LAC,Clippers,2012-13,56,26,2,4,N/A,4
LAC,Clippers,2013-14,57,25,6,7,N/A,3
LAC,Clippers,2014-15,56,26,7,7,N/A,3
LAC,Clippers,2015-16,53,29,2,4,N/A,4
LAC,Clippers,2016-17,51,31,3,4,N/A,4
LAC,Clippers,2017-18,42,40,0,0,N/A,10
LAC,Clippers,2018-19,48,34,2,4,N/A,8
LAC,Clippers,2019-20,49,23,7,6,N/A,2
LAC,Clippers,2020-21,47,25,10,9,N/A,4
LAC,Clippers,2021-22,42,40,0,0,N/A,8
LAC,Clippers,2022-23,44,38,1,4,N/A,5
LAC,Clippers,2023-24,51,31,2,4,N/A,4
LAC,Clippers,2024-25,50,32,3,4,N/A,5
LAC,Clippers,2025-26,6,19,0,0,N/A,13
LAL,Lakers,2000-01,56,26,15,1,LEAGUE CHAMPION,2
LAL,Lakers,2001-02,58,24,15,4,LEAGUE CHAMPION,3
LAL,Lakers,2002-03,50,32,6,6,N/A,5
LAL,Lakers,2003-04,56,26,13,9,FINALS APPEARANCE,2
LAL,Lakers,2004-05,34,48,0,0,N/A,11
LAL,Lakers,2005-06,45,37,3,4,N/A,7
LAL,Lakers,2006-07,42,40,1,4,N/A,7
LAL,Lakers,2007-08,57,25,14,7,FINALS APPEARANCE,1
LAL,Lakers,2008-09,65,17,16,7,LEAGUE CHAMPION,1
LAL,Lakers,2009-10,57,25,16,7,LEAGUE CHAMPION,1
LAL,Lakers,2010-11,57,25,4,6,N/A,2
LAL,Lakers,2011-12,41,25,5,7,N/A,3
LAL,Lakers,2012-13,45,37,0,4,N/A,7
LAL,Lakers,2013-14,27,55,0,0,N/A,14
LAL,Lakers,2014-15,21,61,0,0,N/A,14
LAL,Lakers,2015-16,17,65,0,0,N/A,15
LAL,Lakers,2016-17,26,56,0,0,N/A,14
LAL,Lakers,2017-18,35,47,0,0,N/A,11
LAL,Lakers,2018-19,37,45,0,0,N/A,10
LAL,Lakers,2019-20,52,19,16,5,LEAGUE CHAMPION,1
LAL,Lakers,2020-21,42,30,2,4,N/A,7
LAL,Lakers,2021-22,33,49,0,0,N/A,11
LAL,Lakers,2022-23,43,39,8,8,N/A,7
LAL,Lakers,2023-24,47,35,1,4,N/A,8
LAL,Lakers,2024-25,50,32,1,4,N/A,3
LAL,Lakers,2025-26,18,7,0,0,N/A,4
MIA,Heat,2000-01,50,32,0,3,N/A,3
MIA,Heat,2001-02,36,46,0,0,N/A,11
MIA,Heat,2002-03,25,57,0,0,N/A,13
MIA,Heat,2003-04,42,40,6,7,N/A,4
MIA,Heat,2004-05,59,23,11,4,N/A,1
MIA,Heat,2005-06,52,30,16,7,LEAGUE CHAMPION,2
MIA,Heat,2006-07,44,38,0,4,N/A,4
MIA,Heat,2007-08,15,67,0,0,N/A,15
MIA,Heat,2008-09,43,39,3,4,N/A,5
MIA,Heat,2009-10,47,35,1,4,N/A,5
MIA,Heat,2010-11,58,24,14,7,FINALS APPEARANCE,2
MIA,Heat,2011-12,46,20,16,7,LEAGUE CHAMPION,2
MIA,Heat,2012-13,66,16,16,7,LEAGUE CHAMPION,1
MIA,Heat,2013-14,54,28,13,7,FINALS APPEARANCE,2
MIA,Heat,2014-15,37,45,0,0,N/A,10
MIA,Heat,2015-16,48,34,7,7,N/A,3
MIA,Heat,2016-17,41,41,0,0,N/A,9
MIA,Heat,2017-18,44,38,1,4,N/A,6
MIA,Heat,2018-19,39,43,0,0,N/A,10
MIA,Heat,2019-20,44,29,14,7,FINALS APPEARANCE,5
MIA,Heat,2020-21,40,32,0,4,N/A,6
MIA,Heat,2021-22,53,29,11,7,N/A,1
MIA,Heat,2022-23,44,38,13,10,FINALS APPEARANCE,7
MIA,Heat,2023-24,46,36,1,4,N/A,8
MIA,Heat,2024-25,37,45,0,4,N/A,10
MIA,Heat,2025-26,14,11,0,0,N/A,6
MIL,Bucks,2000-01,52,30,10,8,N/A,2
MIL,Bucks,2001-02,41,41,0,0,N/A,9
MIL,Bucks,2002-03,42,40,2,4,N/A,7
MIL,Bucks,2003-04,41,41,1,4,N/A,6
MIL,Bucks,2004-05,30,52,0,0,N/A,13
MIL,Bucks,2005-06,40,42,1,4,N/A,8
MIL,Bucks,2006-07,28,54,0,0,N/A,14
MIL,Bucks,2007-08,26,56,0,0,N/A,13
MIL,Bucks,2008-09,34,48,0,0,N/A,12
MIL,Bucks,2009-10,46,36,3,4,N/A,6
MIL,Bucks,2010-11,35,47,0,0,N/A,9
MIL,Bucks,2011-12,31,35,0,0,N/A,9
MIL,Bucks,2012-13,38,44,0,4,N/A,8
MIL,Bucks,2013-14,15,67,0,0,N/A,15
MIL,Bucks,2014-15,41,41,2,4,N/A,6
MIL,Bucks,2015-16,33,49,0,0,N/A,12
MIL,Bucks,2016-17,42,40,2,4,N/A,6
MIL,Bucks,2017-18,44,38,3,4,N/A,7
MIL,Bucks,2018-19,60,22,10,5,N/A,1
MIL,Bucks,2019-20,56,17,5,5,N/A,1
MIL,Bucks,2020-21,46,26,16,7,LEAGUE CHAMPION,3
MIL,Bucks,2021-22,51,31,7,5,N/A,3
MIL,Bucks,2022-23,58,24,1,4,N/A,1
MIL,Bucks,2023-24,49,33,2,4,N/A,3
MIL,Bucks,2024-25,48,34,1,4,N/A,5
MIL,Bucks,2025-26,11,16,0,0,N/A,10
MIN,Timberwolves,2000-01,47,35,1,3,N/A,8
MIN,Timberwolves,2001-02,50,32,0,3,N/A,5
MIN,Timberwolves,2002-03,51,31,2,4,N/A,4
MIN,Timberwolves,2003-04,58,24,10,8,N/A,1
MIN,Timberwolves,2004-05,44,38,0,0,N/A,9
MIN,Timberwolves,2005-06,33,49,0,0,N/A,14
MIN,Timberwolves,2006-07,32,50,0,0,N/A,13
MIN,Timberwolves,2007-08,22,60,0,0,N/A,13
MIN,Timberwolves,2008-09,24,58,0,0,N/A,11
MIN,Timberwolves,2009-10,15,67,0,0,N/A,15
MIN,Timberwolves,2010-11,17,65,0,0,N/A,15
MIN,Timberwolves,2011-12,26,40,0,0,N/A,12
MIN,Timberwolves,2012-13,31,51,0,0,N/A,12
MIN,Timberwolves,2013-14,40,42,0,0,N/A,10
MIN,Timberwolves,2014-15,16,66,0,0,N/A,15
MIN,Timberwolves,2015-16,29,53,0,0,N/A,13
MIN,Timberwolves,2016-17,31,51,0,0,N/A,13
MIN,Timberwolves,2017-18,47,35,1,4,N/A,8
MIN,Timberwolves,2018-19,36,46,0,0,N/A,11
MIN,Timberwolves,2019-20,19,45,0,0,N/A,14
MIN,Timberwolves,2020-21,23,49,0,0,N/A,13
MIN,Timberwolves,2021-22,46,36,2,4,N/A,7
MIN,Timberwolves,2022-23,42,40,1,4,N/A,8
MIN,Timberwolves,2023-24,56,26,9,7,N/A,3
MIN,Timberwolves,2024-25,49,33,9,6,N/A,6
MIN,Timberwolves,2025-26,17,9,0,0,N/A,6
BKN,Nets,2000-01,26,56,0,0,N/A,12
BKN,Nets,2001-02,52,30,11,9,FINALS APPEARANCE,1
BKN,Nets,2002-03,49,33,14,6,FINALS APPEARANCE,2
BKN,Nets,2003-04,47,35,7,4,N/A,2
BKN,Nets,2004-05,42,40,0,4,N/A,8
BKN,Nets,2005-06,49,33,5,6,N/A,4
BKN,Nets,2006-07,41,41,6,6,N/A,6
BKN,Nets,2007-08,34,48,0,0,N/A,10
BKN,Nets,2008-09,34,48,0,0,N/A,11
BKN,Nets,2009-10,12,70,0,0,N/A,15
BKN,Nets,2010-11,24,58,0,0,N/A,12
BKN,Nets,2011-12,22,44,0,0,N/A,12
BKN,Nets,2012-13,49,33,3,4,N/A,4
BKN,Nets,2013-14,44,38,5,7,N/A,6
BKN,Nets,2014-15,38,44,2,4,N/A,8
BKN,Nets,2015-16,21,61,0,0,N/A,14
BKN,Nets,2016-17,20,62,0,0,N/A,15
BKN,Nets,2017-18,28,54,0,0,N/A,12
